,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed,Current Discription
201,severo-kurilsk,24,RU,1626374656,90,51.51,50.6789,156.125,19.08,few clouds
202,nemuro,70,JP,1626374656,99,57.45,43.3236,145.575,7.38,broken clouds
203,narasannapeta,97,IN,1626374656,85,81.34,18.4167,84.05,6.76,overcast clouds
204,port hardy,75,CA,1626374657,72,59.18,50.6996,-127.4199,5.75,broken clouds
205,ixtapa,20,MX,1626374657,66,89.22,20.7,-105.2,8.05,few clouds
206,bubaque,100,GW,1626374658,80,80.69,11.2833,-15.8333,13.13,overcast clouds
207,basoko,100,CD,1626374658,56,78.96,1.2391,23.616,2.57,overcast clouds
208,rorvik,75,NO,1626374659,72,58.98,64.8621,11.2373,20.71,broken clouds
209,takoradi,100,GH,1626374659,82,77.04,4.8845,-1.7554,9.48,overcast clouds
210,oga,100,IT,1626374659,91,54.14,46.4631,10.347,1.48,overcast clouds
211,antalaha,79,MG,1626374660,79,69.31,-14.9003,50.2788,8.01,broken clouds
212,manta,75,EC,1626374660,74,80.38,-0.95,-80.7333,8.05,broken clouds
213,north platte,90,US,1626374528,57,79.99,41.1239,-100.7654,1.99,overcast clouds
214,punta alta,0,AR,1626374661,37,55.49,-38.8759,-62.0736,11.5,clear sky
215,kabin buri,100,TH,1626374661,93,76.1,13.9511,101.7177,1.32,light rain
216,emba,20,KZ,1626374662,30,74.41,48.8264,58.1442,5.3,few clouds
217,ahipara,55,NZ,1626374662,87,52.52,-35.1667,173.1667,10.07,broken clouds
218,deputatskiy,71,RU,1626374662,52,47.17,69.3,139.9,2.68,broken clouds
219,provideniya,100,RU,1626374663,93,48.56,64.3833,-173.3,7.43,overcast clouds
220,luderitz,0,NA,1626374663,48,58.93,-26.6481,15.1594,9.75,clear sky
221,jalu,0,LY,1626374555,35,88.74,29.0331,21.5482,23.55,clear sky
222,kargasok,100,RU,1626374664,89,53.29,59.0556,80.8572,9.6,overcast clouds
223,east london,0,ZA,1626374650,58,52.74,-33.0153,27.9116,5.75,clear sky
224,verkhnevilyuysk,100,RU,1626374665,85,48.43,63.4453,120.3167,3.87,overcast clouds
225,pacific grove,75,US,1626374665,86,79.57,36.6177,-121.9166,1.01,broken clouds
226,feijo,82,BR,1626374665,41,91.13,-8.1642,-70.3536,2.42,broken clouds
227,arraial do cabo,0,BR,1626374666,54,85.96,-22.9661,-42.0278,9.22,clear sky
228,nantucket,90,US,1626374442,88,84.54,41.2835,-70.0995,10.36,mist
229,sibolga,23,ID,1626374666,78,75.49,1.7427,98.7792,3.44,few clouds
230,vanimo,99,PG,1626374667,89,77.79,-2.6741,141.3028,0.45,overcast clouds
231,vardo,0,NO,1626374667,82,64.6,70.3705,31.1107,14.97,clear sky
232,banda aceh,59,ID,1626374668,79,78.76,5.5577,95.3222,8.39,light rain
233,panaba,71,MX,1626374668,36,97.29,21.2833,-88.2667,16.22,broken clouds
234,maniitsoq,1,GL,1626374668,85,48.06,65.4167,-52.9,8.9,clear sky
235,phonhong,100,LA,1626374669,94,74.88,18.5007,102.4166,1.95,overcast clouds
236,manggar,100,ID,1626374669,75,79.86,-2.8833,108.2667,9.8,overcast clouds
237,kongolo,100,CD,1626374670,36,83.08,-5.3833,27.0,2.91,overcast clouds
